City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Nizwa,OM,2022-04-09 17:31:24,22.9333,57.5333,86.58,12,80,7.14
99,Cobija,BO,2022-04-09 17:31:25,-11.0267,-68.7692,87.98,74,75,0.0
100,San Martin,AR,2022-04-09 17:31:25,-33.081,-68.4681,79.34,32,0,11.88
101,Tucurui,BR,2022-04-09 17:31:26,-3.7661,-49.6725,84.63,78,95,3.29
102,Waipawa,NZ,2022-04-09 17:31:26,-41.4122,175.5153,45.68,86,0,4.83
103,Chumphon,TH,2022-04-09 17:31:26,10.3333,98.8333,71.65,90,48,0.67
104,Cockburn Town,TC,2022-04-09 17:31:27,21.4612,-71.1419,78.82,79,63,20.04
105,Esmeraldas,BR,2022-04-09 17:26:55,-19.7625,-44.3139,81.64,55,80,8.05
106,Kaya,BF,2022-04-09 17:31:27,13.0917,-1.0844,103.62,13,15,2.37
107,Binzhou,CN,2022-04-09 17:31:28,37.3667,118.0167,72.77,48,0,13.2
108,Aden,YE,2022-04-09 17:31:28,12.7794,45.0367,81.93,70,0,15.17
109,Puerto Ayora,EC,2022-04-09 17:31:28,-0.7393,-90.3518,81.37,72,92,7.78
110,Ponta Do Sol,PT,2022-04-09 17:31:29,32.6667,-17.1,66.7,66,51,5.39
111,Bandarbeyla,SO,2022-04-09 17:31:29,9.4942,50.8122,81.03,77,99,8.86
112,Hilo,US,2022-04-09 17:31:29,19.7297,-155.09,72.1,88,0,3.44
113,Mangai,CD,2022-04-09 17:31:30,-4.05,19.5333,73.26,93,82,2.28
114,Ngudu,TZ,2022-04-09 17:31:30,-2.9667,33.3333,72.07,55,28,5.03
115,Nantucket,US,2022-04-09 17:31:31,41.2835,-70.0995,56.08,71,0,14.97
116,Karratha,AU,2022-04-09 17:31:31,-20.7377,116.8463,82.62,46,8,11.74
117,Virginia Beach,US,2022-04-09 17:29:18,36.8529,-75.978,61.02,45,54,1.01
118,Hami,CN,2022-04-09 17:31:31,42.8,93.45,62.69,16,47,11.36
119,Dingle,PH,2022-04-09 17:31:32,10.9995,122.6711,75.34,88,100,2.13
120,Darhan,MN,2022-04-09 17:31:32,49.4867,105.9228,35.56,75,40,1.25
121,Idritsa,RU,2022-04-09 17:31:32,56.3316,28.8988,39.49,90,100,7.02
122,Cherskiy,RU,2022-04-09 17:31:33,68.75,161.3,-23.64,100,86,2.37
123,Kormend,HU,2022-04-09 17:31:33,47.011,16.606,46.0,58,100,9.15
124,Las Cruces,US,2022-04-09 17:30:41,32.3123,-106.7783,75.31,12,0,9.22
125,Norman Wells,CA,2022-04-09 17:28:17,65.282,-126.8329,10.44,72,75,20.71
126,Katsuura,JP,2022-04-09 17:31:33,35.1333,140.3,60.28,85,0,11.97
127,Pangnirtung,CA,2022-04-09 17:31:34,66.1451,-65.7125,12.2,79,100,6.91
128,Saldanha,ZA,2022-04-09 17:31:34,-33.0117,17.9442,73.45,59,0,14.36
129,Mahebourg,MU,2022-04-09 17:31:34,-20.4081,57.7,79.09,83,40,6.91
130,Tibiri,NE,2022-04-09 17:31:35,13.5627,7.0485,96.89,7,5,6.8
131,Grindavik,IS,2022-04-09 17:31:35,63.8424,-22.4338,40.95,87,75,28.77
132,Georgetown,MY,2022-04-09 17:31:35,5.4112,100.3354,80.53,89,20,0.0
133,Tautira,PF,2022-04-09 17:31:36,-17.7333,-149.15,80.56,80,99,20.96
134,Dergachi,RU,2022-04-09 17:31:36,51.2328,48.7659,46.83,92,100,2.08
135,Chancay,PE,2022-04-09 17:31:36,-11.5714,-77.2672,73.08,72,93,8.72
136,San Rafael,AR,2022-04-09 17:32:18,-34.6177,-68.3301,83.66,33,8,13.35
137,Dikson,RU,2022-04-09 17:32:37,73.5069,80.5464,4.75,98,99,3.36
138,Bambous Virieux,MU,2022-04-09 17:32:37,-20.3428,57.7575,79.05,83,40,6.91
139,Arraial Do Cabo,BR,2022-04-09 17:32:38,-22.9661,-42.0278,84.16,78,0,14.97
140,Jamestown,US,2022-04-09 17:28:27,42.097,-79.2353,42.39,53,100,12.66
141,Garhi Khairo,PK,2022-04-09 17:32:39,28.0606,67.9803,92.43,8,2,6.31
142,Leningradskiy,RU,2022-04-09 17:32:39,69.3833,178.4167,-23.98,95,54,4.47
143,Sonoita,MX,2022-04-09 17:32:40,31.85,-112.8333,86.32,8,5,16.37
144,Oistins,BB,2022-04-09 17:32:40,13.0667,-59.5333,86.09,62,40,20.71
145,San Cristobal,VE,2022-04-09 17:32:41,7.7669,-72.225,82.58,37,83,7.96
146,Kintampo,GH,2022-04-09 17:29:10,8.0563,-1.7306,97.2,31,100,0.49
147,Nuuk,GL,2022-04-09 17:32:41,64.1835,-51.7216,27.21,74,40,10.36
148,Itarema,BR,2022-04-09 17:32:41,-2.9248,-39.9167,78.3,83,68,10.65
149,Sao Raimundo Nonato,BR,2022-04-09 17:32:42,-9.0153,-42.6994,98.35,20,52,7.58
150,Port Alfred,ZA,2022-04-09 17:29:06,-33.5906,26.891,62.19,94,96,4.0
151,Najran,SA,2022-04-09 17:32:42,17.4924,44.1277,81.25,15,0,4.61
152,Kenai,US,2022-04-09 17:32:42,60.5544,-151.2583,27.14,58,75,3.44
153,Nortelandia,BR,2022-04-09 17:32:43,-14.4547,-56.8028,92.12,49,17,1.25
154,Altay,CN,2022-04-09 17:32:43,47.8667,88.1167,35.22,64,15,6.04
155,Raga,SS,2022-04-09 17:32:43,8.4596,25.678,88.14,33,66,4.94
156,Almaznyy,RU,2022-04-09 17:32:44,48.0448,40.045,52.59,68,93,9.73
157,Madang,PG,2022-04-09 17:32:44,-5.2246,145.7966,75.49,93,100,1.9
158,Laje,BR,2022-04-09 17:32:44,-10.1833,-40.9667,92.95,24,12,6.82
159,Upernavik,GL,2022-04-09 17:32:45,72.7868,-56.1549,3.99,89,92,7.74
160,Ust-Kut,RU,2022-04-09 17:32:45,56.7938,105.7672,25.79,97,100,0.98
161,Fukue,JP,2022-04-09 17:32:45,32.6881,128.8419,62.24,82,8,6.31
162,Nome,US,2022-04-09 17:32:46,64.5011,-165.4064,23.07,93,100,9.22
163,Golden,US,2022-04-09 17:30:47,39.7555,-105.2211,72.95,17,98,11.99
164,Solnechnyy,RU,2022-04-09 17:32:46,50.7214,136.6319,20.35,97,76,4.0
165,Aksarka,RU,2022-04-09 17:32:46,66.5606,67.7975,10.35,95,100,6.71
166,Havre-Saint-Pierre,CA,2022-04-09 17:32:47,50.2334,-63.5986,35.96,93,100,6.91
167,Khatanga,RU,2022-04-09 17:32:47,71.9667,102.5,-3.73,100,67,5.3
168,Chekmagush,RU,2022-04-09 17:32:47,55.1319,54.6556,37.24,100,100,7.05
169,Ceahlau,RO,2022-04-09 17:32:48,47.05,25.9667,60.49,87,81,2.55
170,Victoria,HK,2022-04-09 17:32:48,22.2855,114.1577,73.94,74,0,11.01
171,Narsaq,GL,2022-04-09 17:32:48,60.9167,-46.05,39.42,47,1,1.32
172,Nouadhibou,MR,2022-04-09 17:32:49,20.931,-17.0347,67.98,73,0,21.85
173,Ostrovnoy,RU,2022-04-09 17:32:49,68.0531,39.5131,35.08,86,100,20.8
