City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
421,Antalaha,MG,85.1,clear sky,-14.9003,50.2788,Hotel Vitasoa
422,Saint-Philippe,RE,85.12,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
427,Bantogon,PH,80.22,overcast clouds,6.5333,124.0333,Kalamansig Greenhome
434,Abha,SA,80.85,scattered clouds,18.2164,42.5053,Abha Hotel
435,Vao,NC,77.07,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
437,Salinopolis,BR,77.79,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
440,Puerto Carreno,CO,76.23,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
442,Trincomalee,LK,85.53,broken clouds,8.5711,81.2335,Welcombe Hotel
449,Champoton,MX,76.75,clear sky,19.35,-90.7167,HOTEL Posada La Regia
451,Ilheus,BR,75.02,moderate rain,-14.7889,-39.0494,Barravento Hotel
456,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
457,Kulhudhuffushi,MV,84.81,overcast clouds,6.6221,73.07,Haajy Guest House 1
462,Yenagoa,NG,86.9,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
463,Quixada,BR,76.39,scattered clouds,-4.9714,-39.0153,Hotel Vale das Pedras
468,Parrita,CR,77.5,overcast clouds,9.5201,-84.3225,Beso del Viento
473,Carutapera,BR,75.94,overcast clouds,-1.195,-46.02,Lidera
474,Belyy Yar,RU,78.69,clear sky,53.6039,91.3903,Pasportnyy Stol
477,Cabedelo,BR,81.27,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
479,Quatre Cocos,MU,81.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
481,Caucaia,BR,80.04,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
482,Beira,MZ,84.29,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
485,Auki,SB,77.83,light rain,-8.7676,160.7034,Auki Motel
493,Tura,IN,77.16,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
497,Bowen,AU,76.73,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
501,Baghdad,IQ,84.11,clear sky,33.3406,44.4009,Baghdad Hotel
502,Bandarbeyla,SO,88.48,scattered clouds,9.4942,50.8122,JABIR HOTEL
508,Catuday,PH,82.13,scattered clouds,16.2923,119.8062,Benjie's Kubo & Cottages
